X	Y	Species	Type	Diam	Height	ParamG1
31	22.5	ABCO	Adult	7.3	0	0
32	22	ABCO	Adult	12.2	0	0
34	22	ABCO	Adult	12.2	0	0
34.5	22.5	ABCO	Adult	22.3	0	0
34	23	ABCO	Adult	11.9	0	0
36	23	ABCO	Adult	14.3	0	0
37	24	ABCO	Adult	4.4	0	0
34	25	ABCO	Adult	12.8	0	0
35	25	ABCO	Adult	12	0	0
38	26	ABCO	Adult	55.8	0	0
33	28	ABCO	Adult	13.1	0	0
33	28	ABCO	Adult	11.3	0	0
33	33	ABCO	Adult	9.4	0	0
31	32	ABCO	Adult	144.3	0	0
5	41	ABCO	Adult	42	0	0
1	46	ABCO	Adult	18.4	0	0
2	48	ABCO	Adult	18.7	0	0
2	49	ABCO	Adult	23.3	0	0
2	50	ABCO	Adult	32.3	0	0
0	49	ABCO	Adult	21.7	0	0
2	56	ABCO	Adult	1.3	0	0
1.5	58	ABMA	Adult	14.3	0	0
10	56	ABCO	Adult	112.8	0	0
11	56	ABCO	Adult	20.4	0	0
11	55.5	ABCO	Adult	33.4	0	0
8	45	ABCO	Adult	50.4	0	0
7	44	ABCO	Adult	20	0	0
9	41	ABCO	Adult	30.3	0	0
11	42	ABCO	Adult	40.2	0	0
10	45	ABCO	Adult	22.7	0	0
14	44	ABCO	Adult	50.4	0	0
13.5	45	ABCO	Adult	18.2	0	0
13	46	ABCO	Adult	12.5	0	0
15	48	ABCO	Adult	28.5	0	0
14	47	ABCO	Adult	41	0	0
17	48	ABCO	Adult	15.3	0	0
16.5	45	ABCO	Adult	32.2	0	0
16.5	40	ABCO	Adult	4.6	0	0
19	58	ABCO	Adult	23.7	0	0
3	63	ABCO	Adult	58.5	0	0
3	66	ABMA	Adult	92.1	0	0
7	63	ABCO	Adult	4.3	0	0
6.5	68	ABMA	Adult	8.4	0	0
7	69	ABCO	Adult	2.7	0	0
6	66	ABCO	Adult	4.7	0	0
6	66.5	ABCO	Adult	14.6	0	0
8	66	ABCO	Adult	9.6	0	0
8	65.5	ABCO	Adult	13.9	0	0
8	65	ABCO	Adult	14.5	0	0
6.5	69	ABCO	Adult	15.5	0	0
7	70	ABCO	Adult	11.1	0	0
7.5	69	ABCO	Adult	18.9	0	0
42	2	ABCO	Adult	7.1	0	0
44	0	ABCO	Adult	6.7	0	0
44	2.5	ABCO	Adult	27.4	0	0
44.5	4.5	ABMA	Adult	14.2	0	0
49	6.5	ABMA	Adult	22.9	0	0
49	6	PILA	Adult	2.1	0	0
58	5	ABCO	Adult	121.2	0	0
56	9	ABCO	Adult	39.5	0	0
53	10	ABMA	Adult	7.9	0	0
50	12	ABCO	Adult	22.7	0	0
56	15	ABCO	Adult	10.1	0	0
56	15	ABCO	Adult	4.4	0	0
67	17	ABMA	Adult	31.3	0	0
48	17	ABCO	Adult	18.8	0	0
47.5	18	ABCO	Adult	4.2	0	0
44.5	18	ABCO	Adult	12.9	0	0
41	18	ABCO	Adult	6.5	0	0
42	17	ABCO	Adult	8.3	0	0
40	21	ABMA	Adult	3.7	0	0
42	20	ABCO	Adult	5.3	0	0
39	22	ABCO	Adult	17.5	0	0
40	22	ABCO	Adult	14.3	0	0
41	22	ABCO	Adult	8.4	0	0
43	23	ABCO	Adult	2.3	0	0
40	22.5	ABCO	Adult	10.7	0	0
40	23	ABCO	Adult	10.3	0	0
40	23.5	ABMA	Adult	5.7	0	0
40.5	24	ABCO	Adult	10.6	0	0
39.5	23.5	ABCO	Adult	5.7	0	0
40	24	ABCO	Adult	5	0	0
40	28	ABCO	Adult	7.5	0	0
40.5	31	ABCO	Adult	4.5	0	0
41	31.5	ABCO	Adult	27.1	0	0
40.5	29	ABCO	Adult	1.5	0	0
45	25	ABCO	Adult	30.3	0	0
61	19	ABCO	Adult	47.9	0	0
66	20.5	ABCO	Adult	51	0	0
50	25	ABCO	Adult	67.3	0	0
52	33	ABMA	Adult	77.1	0	0
54	34	ABCO	Adult	61.3	0	0
50	35	ABMA	Adult	58.4	0	0
49	35.5	ABCO	Adult	38.1	0	0
68	5	PIJE	Adult	5.7	0	0
73	3	ABCO	Adult	7.5	0	0
75	5	ABCO	Adult	90.5	0	0
79.5	4	ABCO	Adult	50.5	0	0
76.5	6.5	ABCO	Adult	21.6	0	0
74.5	7	ABMA	Adult	30.3	0	0
74	7	ABMA	Adult	5.4	0	0
75	9	ABCO	Adult	59.9	0	0
70	9	ABMA	Adult	5.4	0	0
