X	Y	Species	Type	Diam	Height	ParamG1
48.5	52.5	ABCO	Adult	46.9	0	0
47.5	65	ABCO	Adult	34.5	0	0
48	62	ABCO	Adult	18.5	0	0
59	66	ABCO	Adult	94.7	0	0
58	64	ABCO	Adult	105.5	0	0
58	60	ABCO	Adult	41.1	0	0
60	56	ABCO	Adult	59.4	0	0
29.5	46	ABMA	Adult	60.2	0	0
38	50.5	ABCO	Adult	143.3	0	0
51	64	ABCO	Adult	53.5	0	0
57	62	ABCO	Adult	25.5	0	0
61	55	ABCO	Adult	20.8	0	0
61.5	55	ABCO	Adult	39.2	0	0
15	49	ABMA	Adult	71.7	0	0
13	48.5	ABMA	Adult	43.8	0	0
21.5	70	ABMA	Adult	73	0	0
21	70	ABMA	Adult	17.8	0	0
26	77	ABCO	Adult	51	0	0
36	70	ABCO	Adult	109.8	0	0
39	72	ABCO	Adult	121.1	0	0
47	72	ABCO	Adult	22.5	0	0
47.5	72.5	ABCO	Adult	54.6	0	0
57	77	PILA	Adult	45.7	0	0
58	76	ABCO	Adult	20.6	0	0
98.5	0	PIPO	Adult	47.5	0	0
37	9	CADE	Adult	26.8	0	0
58	6	CADE	Adult	21.5	0	0
96	12	CADE	Adult	43.9	0	0
107.5	0.5	ABCO	Adult	69.9	0	0
136	17	ABCO	Adult	113.5	0	0
133	13	ABCO	Adult	105.9	0	0
117.5	0.5	PIPO	Adult	59.8	0	0
119	5	ABCO	Adult	32.3	0	0
126	2	ABCO	Adult	38.8	0	0
128.5	5.5	ABCO	Adult	31.6	0	0
122	8.5	ABCO	Adult	42.9	0	0
134	12.5	ABCO	Adult	98.5	0	0
135	8.5	PIPO	Adult	102.4	0	0
132	2	ABCO	Adult	51.7	0	0
138	1.5	ABCO	Adult	37.4	0	0
140.5	0	ABCO	Adult	59	0	0
147	0.5	ABCO	Adult	28.9	0	0
147.5	2	ABCO	Adult	40.9	0	0
146	7	ABCO	Adult	51.1	0	0
142	10.5	ABCO	Adult	86.2	0	0
141	17	ABCO	Adult	42.7	0	0
151	20.5	CADE	Adult	49.4	0	0
150	9	ABCO	Adult	58.6	0	0
151	4	ABCO	Adult	66.7	0	0
151.5	4	CADE	Adult	56.9	0	0
152	4	ABCO	Adult	32.4	0	0
157	2	ABCO	Adult	50.5	0	0
159.5	2.5	ABCO	Adult	54.6	0	0
160	5.5	ABCO	Adult	24.6	0	0
156	9	ABCO	Adult	33.9	0	0
156	7.5	ABCO	Adult	18.6	0	0
158.5	8	ABCO	Adult	26.3	0	0
109.5	22	ABCO	Adult	128.7	0	0
108	25	ABCO	Adult	109.1	0	0
159	10	CADE	Adult	28.3	0	0
123	29.5	ABCO	Adult	40.4	0	0
133.5	31	ABCO	Adult	54	0	0
133	30	ABCO	Adult	61.3	0	0
137	31	ABCO	Adult	86.9	0	0
137	30	ABCO	Adult	57.1	0	0
136	26.5	ABCO	Adult	47	0	0
133	20	ABCO	Adult	87.9	0	0
127.5	18.5	ABCO	Adult	62.8	0	0
140.5	27.5	ABCO	Adult	114.9	0	0
147.5	23	ABCO	Adult	102.3	0	0
153	22	PILA	Adult	76.6	0	0
157	23	PIJE	Adult	48.6	0	0
152	27	ABCO	Adult	58.1	0	0
160	22.5	PIJE	Adult	42.5	0	0
156	35	PIJE	Adult	82.1	0	0
162	23	ABCO	Adult	38.9	0	0
156	30	ABCO	Adult	47.7	0	0
157	30	PIJE	Adult	49.7	0	0
169.5	28.5	CADE	Adult	45.5	0	0
175.5	26.5	ABCO	Adult	24.5	0	0
176	26	PIJE	Adult	17.1	0	0
173	24	PIJE	Adult	41.1	0	0
171	22	CADE	Adult	51.7	0	0
166	30	ABCO	Adult	35	0	0
176	27	PIJE	Adult	54.8	0	0
177	34	ABCO	Adult	53	0	0
165	25.5	ABCO	Adult	42.5	0	0
145	38.5	ABCO	Adult	100.2	0	0
146	39.5	ABCO	Adult	103.2	0	0
154	39	PIJE	Adult	41.9	0	0
177	25	ABCO	Adult	29.2	0	0
176.5	23.5	CADE	Adult	20.9	0	0
176	23.5	ABCO	Adult	42.8	0	0
176	21.5	PIJE	Adult	41.7	0	0
179	22	ABCO	Adult	36.7	0	0
178	15	PIPO	Adult	23.1	0	0
174	14	ABCO	Adult	48.3	0	0
196.5	71	ABCO	Adult	29.9	0	0
168	18.5	ABCO	Adult	43.2	0	0
167	16	PIJE	Adult	37.3	0	0
169.5	12	CADE	Adult	44.4	0	0
168	9.5	CADE	Adult	45.6	0	0
167.5	7.5	PIJE	Adult	67.6	0	0
167.5	5.5	ABCO	Adult	32.6	0	0
167.5	1	PIJE	Adult	25	0	0
172	2.5	CADE	Adult	51	0	0
170.5	8.5	CADE	Adult	46.9	0	0
171	8.5	PIJE	Adult	22	0	0
174	6	ABCO	Adult	13.5	0	0
175	8	CADE	Adult	49.3	0	0
176	8	ABCO	Adult	22.5	0	0
179.5	12	CADE	Adult	33	0	0
188.5	14.5	PIPO	Adult	74.4	0	0
192.5	18.5	CADE	Adult	56.9	0	0
198	20.5	CADE	Adult	38	0	0
199.5	12	CADE	Adult	32.7	0	0
200	32	PIPO	Adult	121.2	0	0
193	2.5	PIJE	Adult	33.7	0	0
197	38.5	PIJE	Adult	88.6	0	0
184	33	PIJE	Adult	46.3	0	0
193	73	PILA	Adult	15.3	0	0
189	71	ABCO	Adult	41	0	0
192	74	CADE	Adult	22.2	0	0
192	59	CADE	Adult	55.1	0	0
193	66.5	ABCO	Adult	58.2	0	0
191	57	ABCO	Adult	89.2	0	0
197	56	CADE	Adult	74.4	0	0
195.5	47	CADE	Adult	15.8	0	0
199.5	47	PILA	Adult	58	0	0
178	44	ABCO	Adult	118.5	0	0
187	49	CADE	Adult	4.4	0	0
175	48	CADE	Adult	14	0	0
175	50	PIJE	Adult	9.7	0	0
178	56	ABCO	Adult	12.9	0	0
180	56	ABCO	Adult	9.1	0	0
182	56.5	ABCO	Adult	4	0	0
175.5	59	ABCO	Adult	10.2	0	0
173	64.5	ABCO	Adult	4.5	0	0
183	77	ABCO	Adult	31.6	0	0
184	77	ABCO	Adult	30.3	0	0
183.5	78	CADE	Adult	28.5	0	0
