X	Y	Species	Type	Diam	Height	ParamG1
41.5	3	PIPO	Adult	5.7	0	0
49	1	PIPO	Adult	3	0	0
44.5	1	PIPO	Adult	3.4	0	0
45	1	PILA	Adult	3.5	0	0
47	6.5	QUKE	Adult	30.4	0	0
47	6	QUKE	Adult	17.7	0	0
57	6	PIPO	Adult	19.3	0	0
60	8	PIPO	Adult	21.8	0	0
58	9	QUKE	Adult	20.2	0	0
58	11	PILA	Adult	32.8	0	0
57	12	QUKE	Adult	47.8	0	0
57	12.5	QUKE	Adult	42.1	0	0
58	15.5	PIPO	Adult	25.5	0	0
53	15	ABCO	Adult	23.1	0	0
49	15	ABCO	Adult	8.5	0	0
46	17	ABCO	Adult	42.2	0	0
46	16	QUKE	Adult	38.5	0	0
46	16	QUKE	Adult	32.1	0	0
44	13	ABCO	Adult	18.3	0	0
43	9.5	PILA	Adult	4.7	0	0
45	8.5	QUKE	Adult	45.9	0	0
43.5	17	QUKE	Adult	44.4	0	0
44	17	QUKE	Adult	22.8	0	0
19	78	ABCO	Adult	67.6	0	0
19	73	ABCO	Adult	49.2	0	0
33	76.5	ABCO	Adult	71.4	0	0
35	74.5	ABCO	Adult	76.2	0	0
39	71.5	ABCO	Adult	70.3	0	0
53	76	ABCO	Adult	57.6	0	0
53.5	73	ABCO	Adult	9.2	0	0
55.5	75	ABCO	Adult	40.3	0	0
52.5	71	ABCO	Adult	31	0	0
53	66	PILA	Adult	38.3	0	0
60	76	ABCO	Adult	50.7	0	0
62	72	ABCO	Adult	55.2	0	0
66	75	ABCO	Adult	42	0	0
68	76	PILA	Adult	20.4	0	0
80	70	PILA	Adult	98.9	0	0
80	71	PILA	Adult	110.4	0	0
88	74	PILA	Adult	43.1	0	0
94.5	68.5	ABCO	Adult	51	0	0
88	66	ABCO	Adult	38.2	0	0
87	66	PILA	Adult	35.5	0	0
85	50	ABCO	Adult	44.1	0	0
85	50.5	QUKE	Adult	71.2	0	0
80	43	ABCO	Adult	44.9	0	0
81	42	ABCO	Adult	51.2	0	0
84	40	QUKE	Adult	55	0	0
87	35	QUKE	Adult	35.7	0	0
66	32	ABCO	Adult	32.4	0	0
68	28	QUKE	Adult	50.4	0	0
62	20	CADE	Adult	24.4	0	0
72	23	ABCO	Adult	51.6	0	0
75	28	ABCO	Adult	20.9	0	0
75	27	QUKE	Adult	40.8	0	0
75	26	QUKE	Adult	38.8	0	0
75	26.5	QUKE	Adult	27.7	0	0
78	25	QUKE	Adult	35.3	0	0
68	4.5	QUKE	Adult	46.8	0	0
68	5	QUKE	Adult	38.7	0	0
70	2.5	QUKE	Adult	33.3	0	0
69.5	2	QUKE	Adult	35.6	0	0
70.5	1.5	QUKE	Adult	36.6	0	0
73	0	PIPO	Adult	47.5	0	0
91	9	QUKE	Adult	46.5	0	0
92	16	PIPO	Adult	25.8	0	0
89	26.5	PIPO	Adult	10	0	0
89	26	PIPO	Adult	15.1	0	0
92	17.5	PIPO	Adult	15	0	0
48	46	ABCO	Adult	81.1	0	0
47	49	ABCO	Adult	54.4	0	0
57	51	PILA	Adult	90.4	0	0
58	51	ABCO	Adult	22.5	0	0
63	45	QUKE	Adult	47	0	0
60	41	QUKE	Adult	49.3	0	0
65	42	PILA	Adult	29.7	0	0
44	62	ABCO	Adult	68.4	0	0
79	31	PILA	Adult	36.1	0	0
79	31.5	ABCO	Adult	17.1	0	0
80	29	ABCO	Adult	50.1	0	0
85	29	PIPO	Adult	46.8	0	0
87	26	PIPO	Adult	60.7	0	0
64	12	PIPO	Adult	40.2	0	0
64	13	PIPO	Adult	43	0	0
65	12	PIPO	Adult	24.8	0	0
65	12	PIPO	Adult	17.5	0	0
64	14	ABCO	Adult	50.2	0	0
64	13.5	ABCO	Adult	40.8	0	0
65	16	PIPO	Adult	56.7	0	0
74	6	PIPO	Adult	114.2	0	0
77.5	9.5	QUKE	Adult	30.3	0	0
82	8	PIPO	Adult	38.9	0	0
86	10	QUKE	Adult	19.5	0	0
86	10	QUKE	Adult	14.2	0	0
86	10	QUKE	Adult	20.3	0	0
78	24	QUKE	Adult	39.7	0	0
82	27	ABCO	Adult	43.5	0	0
88	25	PIPO	Adult	12	0	0
90.5	24.5	PIPO	Adult	24.2	0	0
91	24	PIPO	Adult	15.6	0	0
87.5	26	PIPO	Adult	11.3	0	0
91	22	PIPO	Adult	16.1	0	0
98	64	ABCO	Adult	77.4	0	0
91	52	ABCO	Adult	33.3	0	0
85	40	ABCO	Adult	37.8	0	0
90	40	QUKE	Adult	53.7	0	0
89	40	QUKE	Adult	32	0	0
93	43	ABCO	Adult	39.3	0	0
99	26	PIPO	Adult	17.9	0	0
100	28	PIPO	Adult	7.2	0	0
96	27	PIPO	Adult	43	0	0
97	28	PIPO	Adult	21.4	0	0
99	32	QUKE	Adult	60.3	0	0
99	32	QUKE	Adult	48.8	0	0
99	31	QUKE	Adult	43.8	0	0
99	31	QUKE	Adult	35.1	0	0
71	56	PIPO	Adult	70.3	0	0
94.5	19	PIPO	Adult	19	0	0
94	18	PIPO	Adult	7.8	0	0
69.5	51	ABCO	Adult	26.5	0	0
81	4	QUCH	Adult	2.9	0	0
81	3.5	QUCH	Adult	2.3	0	0
86	8	QUCH	Adult	2.4	0	0
94.5	3	QUCH	Adult	20.4	0	0
94.5	3	QUCH	Adult	23.8	0	0
94.5	3	QUCH	Adult	17.9	0	0
94.5	3	QUCH	Adult	21	0	0
94.5	3	QUCH	Adult	16.3	0	0
94.5	3	QUCH	Adult	24.6	0	0
94.5	3	QUCH	Adult	17.4	0	0
94.5	3	QUCH	Adult	16	0	0
94.5	3	QUCH	Adult	25	0	0
94.5	3	QUCH	Adult	20.4	0	0
94.5	3	QUCH	Adult	6.2	0	0
94.5	3	QUCH	Adult	21.5	0	0
94.5	3	QUCH	Adult	18.9	0	0
94.5	3	QUCH	Adult	17.5	0	0
94.5	3	QUCH	Adult	24.2	0	0
94.5	3	QUCH	Adult	16.6	0	0
94.5	3	QUCH	Adult	18.3	0	0
94	2	QUCH	Adult	15	0	0
94	2.5	QUCH	Adult	5.7	0	0
69.5	22	QUKE	Adult	37.3	0	0
68.5	33	ABCO	Adult	58.6	0	0
98	73	ABCO	Adult	24.8	0	0
18.5	5	QUKE	Adult	1	0	0
61	9.5	PIPO	Adult	18.3	0	0
92	19	PILA	Adult	10.2	0	0
90	16	PIPO	Adult	12.7	0	0
90	15.5	PIPO	Adult	9.5	0	0
82	16	QUKE	Adult	2.4	0	0
81	16	QUKE	Adult	3.1	0	0
81	17	QUKE	Adult	4.3	0	0
54	12	PIPO	Adult	8.8	0	0
48	79	ABCO	Adult	25.4	0	0
71	22	QUKE	Adult	35.7	0	0
73	50.5	QUKE	Adult	34.2	0	0
79	24	QUKE	Adult	58.4	0	0
79	22	QUCH	Adult	21.8	0	0
2	9.5	QUKE	Adult	7.5	0	0
11	6	PILA	Adult	2.3	0	0
21	13.5	PIPO	Adult	100.9	0	0
20	20	PIPO	Adult	113.1	0	0
30	17	PIPO	Adult	118.2	0	0
30	4	PIPO	Adult	40.8	0	0
30	1	PIPO	Adult	22.2	0	0
32	5	PIPO	Adult	17.6	0	0
58	5	ABCO	Adult	32.9	0	0
79	1	PIPO	Adult	51.3	0	0
1	29	ABCO	Adult	63.3	0	0
20.5	20.5	PIPO	Adult	113.7	0	0
23	36.5	PIPO	Adult	35.5	0	0
68	39	QUKE	Adult	38	0	0
89	30.5	PIPO	Adult	37.2	0	0
41	4	ABCO	Adult	51.9	0	0
44	6	ABCO	Adult	63.5	0	0
47.5	7.5	ABCO	Adult	17.4	0	0
50.5	9	PIPO	Adult	22.3	0	0
51	6	PIPO	Adult	25.7	0	0
51.5	4	PIPO	Adult	27.2	0	0
2	37	ABCO	Adult	53.6	0	0
90	17	ABCO	Adult	24.2	0	0
55	15	ABCO	Adult	25.7	0	0
53	10	PIPO	Adult	74.9	0	0
12	26	ABCO	Adult	28.9	0	0
22	42	ABCO	Adult	36.8	0	0
35	60	PILA	Adult	21.5	0	0
35	61	PILA	Adult	18.8	0	0
40	62	PILA	Adult	54.7	0	0
40.5	58	PILA	Adult	21.2	0	0
42	58	QUKE	Adult	26.5	0	0
54	32	ABCO	Adult	32.3	0	0
60	53	QUKE	Adult	33	0	0
66	68	PILA	Adult	29.7	0	0
68	65	QUKE	Adult	29.5	0	0
73	50.5	QUKE	Adult	48.7	0	0
78	55	QUKE	Adult	42.9	0	0
81	79	QUKE	Adult	22.8	0	0
91	83	ABCO	Adult	10.5	0	0
93	81	PIPO	Adult	15.4	0	0
96	85	ABCO	Adult	53.2	0	0
100	2	PIPO	Adult	8.6	0	0
100.5	2	PIPO	Adult	1.5	0	0
102	1.5	QUKE	Adult	6.9	0	0
102.5	1.5	QUKE	Adult	3.3	0	0
101.5	6	PIPO	Adult	84.7	0	0
101	6	QUKE	Adult	2	0	0
100.5	6	QUKE	Adult	1.8	0	0
102	6	QUKE	Adult	1.1	0	0
